File,Mean_RR_ms,SDNN_ms,RMSSD_ms
inference_single_results/1002/1002_predictions.json,965.2,64.4,74.5
inference_single_results/1007/1007_predictions.json,1069.1,110.9,125.4
inference_single_results/1009/1009_predictions.json,953.7,45.2,41.9
inference_single_results/1010/1010_predictions.json,917.8,56.1,54.4
inference_single_results/1011/1011_predictions.json,746.4,68.7,77.4
inference_single_results/1012/1012_predictions.json,793.0,43.8,48.2
inference_single_results/1014/1014_predictions.json,911.5,133.2,167.5
inference_single_results/1015/1015_predictions.json,662.0,39.3,45.7
inference_single_results/1019/1019_predictions.json,1123.2,66.9,79.2
inference_single_results/1020/1020_predictions.json,1116.5,84.8,112.1
inference_single_results/1021/1021_predictions.json,922.8,95.1,100.3
inference_single_results/1022/1022_predictions.json,987.4,68.1,75.6
inference_single_results/1023/1023_predictions.json,1220.4,66.5,86.7
inference_single_results/1024/1024_predictions.json,883.5,88.8,118.6
inference_single_results/1025/1025_predictions.json,930.0,53.8,54.0
inference_single_results/1026/1026_predictions.json,856.0,48.7,55.2
inference_single_results/1027/1027_predictions.json,1038.4,44.2,59.9
inference_single_results/1028/1028_predictions.json,951.4,52.7,54.8
inference_single_results/1029/1029_predictions.json,902.2,49.9,59.9
inference_single_results/1030/1030_predictions.json,1080.2,96.8,110.5
inference_single_results/1032/1032_predictions.json,1087.4,90.3,117.3
inference_single_results/1034/1034_predictions.json,922.2,63.0,77.3
inference_single_results/1035/1035_predictions.json,888.1,69.5,92.2
inference_single_results/1037/1037_predictions.json,817.2,68.7,82.2
inference_single_results/1038/1038_predictions.json,928.2,40.1,43.1
inference_single_results/1040/1040_predictions.json,1104.7,120.3,148.0
inference_single_results/1041/1041_predictions.json,1069.9,103.2,137.6
inference_single_results/1044/1044_predictions.json,896.3,48.6,37.3
inference_single_results/1048/1048_predictions.json,976.1,30.8,34.6
inference_single_results/1049/1049_predictions.json,886.8,54.8,53.6
inference_single_results/1050/1050_predictions.json,1092.2,148.8,234.3
inference_single_results/1051/1051_predictions.json,702.8,36.1,28.0
inference_single_results/1052/1052_predictions.json,868.3,51.7,55.7
inference_single_results/1053/1053_predictions.json,934.0,58.1,57.4
inference_single_results/1054/1054_predictions.json,1066.2,94.7,120.4
inference_single_results/1055/1055_predictions.json,862.6,50.0,54.0
inference_single_results/1056/1056_predictions.json,1182.5,61.9,66.5
inference_single_results/1057/1057_predictions.json,762.5,24.8,24.5
inference_single_results/1060/1060_predictions.json,991.2,65.7,91.3
inference_single_results/1063/1063_predictions.json,798.3,33.2,25.8
